S. No.,First Name,Surname,Country,Specialism,Batting ,Bowling style,BASE(RS - L),POINTS,,Star Player
70,Arshdeep,Singh,India,BOWLER,LHB,Left-arm fast-medium,200,38,Indian,No
71,Niroshan,Dickwella,Sri Lanka,WICKETKEEPER,LHB,-,100,34,Oversesas,No
72,Chetan,Sakariya,India,BOWLER,LHB,LEFT ARM Fast Medium,100,34,Indian,No
73,Pawan,Negi,India,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,50,33,Indian,No
74,Venkatesh,Iyer,India,ALL-ROUNDER,LHB,Right-arm medium,200,40,Indian,No
75,Mitchell,Marsh,Australia,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,200,38,Oversesas,No
76,Prabhsimran,Singh,India,WICKETKEEPER,RHB,-,100,33,Indian,No
77,Axar,Patel,India,ALL-ROUNDER,LHB,Left-arm orthodox,200,41,Indian,No
78,Jagadeesha,Suchith,India,BOWLER,LHB,LEFT ARM Slow Orthodox,20,30,Indian,No
79,Rahul,Shukla,India,BOWLER,RHB,RIGHT ARM Fast,20,30,Indian,No
,,,,,,,,,,
81,Mohammed,Siraj,India,BOWLER,RHB,-,200,40,Indian,No
82,Shivam,Dube,India,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,100,33,Indian,No
83,Shahbaz,Nadeem,India,BOWLER,RHB,LEFT ARM Slow Orthodox,50,28,Indian,No
,,,,,,,,,,
85,Ravindra,Jadega,India,ALL-ROUNDER,LHB,Left-arm orthodox,300,42,Indian,No
86,Sam,Curran,England,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,200,41,Oversesas,No
87,Shivam,Mavi,India,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,50,30,Indian,No
88,Alex,Hales,England,BATSMAN,RHB,-,150,35,Oversesas,No
89,Odean,Smith,West Indies,ALL-ROUNDER,RHB,RIGHT ARM Fast,200,36,Oversesas,No
90,Shakib,Al Hasan,Bangladesh,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,200,38,Oversesas,No
91,Marnus,Labuschagne,Australia,BATSMAN,RHB,RIGHT ARM Leg Spin,100,31,Oversesas,No
92,Liam,Livingstone,England,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,200,40,Oversesas,No
93,Keemo,Paul,West Indies,ALL-ROUNDER,RHB,RIGHT ARM Fast,50,33,Oversesas,No
94,Rinku,Singh,India,BATSMAN,LHB,RIGHT ARM Off Spin,20,29,Indian,No
